epoch (ms),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category,set,duration
2019-01-11 15:08:05.250,0.0135,0.977,-0.071,-0.8232500000000005,0.3354999999999997,5.198,B,bench,heavy,64,16.0
2019-01-11 15:08:05.400,-0.011,0.97,-0.086,0.8133333333333335,-2.236,1.4633333333333332,B,bench,heavy,64,16.0
2019-01-11 15:08:05.550,0.01,0.9835,-0.062,-7.0120000000000005,-0.8232499999999998,1.1129999999999998,B,bench,heavy,64,16.0
2019-01-11 15:08:05.700,-0.004,0.9595,-0.071,9.451,1.0825,-1.32625,B,bench,heavy,64,16.0
2019-01-11 15:08:05.850,-0.024,0.957,-0.0735,8.125,-5.67075,-2.53025,B,bench,heavy,64,16.0
2019-01-11 15:08:06.000,-0.027,0.952,-0.1145,3.5163333333333333,-4.308666666666666,-1.483666666666667,B,bench,heavy,64,16.0
2019-01-11 15:08:06.150,-0.017,0.978,-0.1295,3.18575,-1.2194999999999996,-1.1435,B,bench,heavy,64,16.0
2019-01-11 15:08:06.300,-0.0225,0.8915,-0.1145,-0.2589999999999999,14.32925,-16.722749999999998,B,bench,heavy,64,16.0
2019-01-11 15:08:06.450,-0.0745,0.765,-0.15,25.18275,4.92375,-28.88725,B,bench,heavy,64,16.0
2019-01-11 15:08:06.600,-0.155,0.883,-0.238,26.524666666666665,0.1016666666666665,-16.605666666666668,B,bench,heavy,64,16.0
2019-01-11 15:08:06.750,-0.2065,0.9055,-0.2135,3.53675,6.6005,-11.753,B,bench,heavy,64,16.0
2019-01-11 15:08:06.900,-0.22,0.913,-0.224,-17.347749999999998,-6.249750000000001,5.015,B,bench,heavy,64,16.0
2019-01-11 15:08:07.050,-0.2045,0.93,-0.149,-29.07025,-12.8815,22.42375,B,bench,heavy,64,16.0
2019-01-11 15:08:07.200,-0.199,1.2715,-0.0945,-22.256333333333338,-20.0,1.483999999999999,B,bench,heavy,64,16.0
2019-01-11 15:08:07.350,-0.192,1.4065,-0.088,32.927,11.99675,-16.478749999999998,B,bench,heavy,64,16.0
2019-01-11 15:08:07.500,-0.196,0.875,-0.1659999999999999,24.83225,5.51825,-12.1645,B,bench,heavy,64,16.0
2019-01-11 15:08:07.650,-0.215,0.906,-0.2195,4.3445,-0.0455,1.677,B,bench,heavy,64,16.0
2019-01-11 15:08:07.800,-0.229,0.938,-0.225,1.1993333333333334,1.8293333333333333,4.146333333333334,B,bench,heavy,64,16.0
2019-01-11 15:08:07.950,-0.207,0.978,-0.221,-13.44525,-6.113,16.60075,B,bench,heavy,64,16.0
2019-01-11 15:08:08.100,-0.177,0.9865,-0.1735,-36.23475,-19.0395,36.0365,B,bench,heavy,64,16.0
2019-01-11 15:08:08.250,-0.0735,0.762,-0.054,-22.48475,-3.186,18.537,B,bench,heavy,64,16.0
2019-01-11 15:08:08.400,-0.011,0.6924999999999999,-0.1035,9.308666666666667,1.8496666666666663,-8.231666666666667,B,bench,heavy,64,16.0
2019-01-11 15:08:08.550,-0.0325,1.137,-0.049,2.2104999999999992,0.1067500000000001,-1.3415,B,bench,heavy,64,16.0
2019-01-11 15:08:08.700,-0.051,0.913,-0.0465,-1.03675,-3.506,0.0915000000000003,B,bench,heavy,64,16.0
2019-01-11 15:08:08.850,-0.072,0.9915,-0.018,0.3659999999999999,-3.11,-0.44225,B,bench,heavy,64,16.0
2019-01-11 15:08:09.000,-0.063,0.984,-0.042,7.073333333333333,-4.654333333333333,4.146333333333334,B,bench,heavy,64,16.0
2019-01-11 15:08:09.150,-0.046,0.9605,-0.031,3.0032500000000004,-0.8230000000000002,0.884,B,bench,heavy,64,16.0
2019-01-11 15:08:09.300,-0.037,0.998,-0.0375,0.5182499999999999,-2.256,0.7925,B,bench,heavy,64,16.0
2019-01-11 15:08:09.450,-0.0475,0.961,-0.0424999999999999,3.5215,-1.55475,0.60975,B,bench,heavy,64,16.0
2019-01-11 15:08:09.600,-0.0525,0.9535,-0.073,2.0123333333333333,1.1786666666666668,-4.979666666666666,B,bench,heavy,64,16.0
2019-01-11 15:08:09.750,-0.0565,0.8795,-0.077,10.564,8.01825,-7.622,B,bench,heavy,64,16.0
